first_week_day,last_week_day,age_group,gender,weekly_tests_num,weekly_newly_tested,weekly_cases,weekly_deceased
17/05/2020,23/05/2020,25-29,נקבה,1671,1174,0,0
17/05/2020,23/05/2020,25-29,לא ידוע,0,0,0,0
17/05/2020,23/05/2020,25-29,זכר,1266,802,0,0
17/05/2020,23/05/2020,30-34,לא ידוע,0,0,0,0
17/05/2020,23/05/2020,30-34,נקבה,1737,1233,0,0
17/05/2020,23/05/2020,30-34,זכר,1300,893,0,0
17/05/2020,23/05/2020,35-39,זכר,1294,937,0,0
17/05/2020,23/05/2020,35-39,נקבה,1681,1201,0,0
17/05/2020,23/05/2020,35-39,לא ידוע,0,0,0,0
17/05/2020,23/05/2020,40-44,לא ידוע,0,0,0,0
17/05/2020,23/05/2020,40-44,זכר,1038,732,0,0
17/05/2020,23/05/2020,40-44,נקבה,1547,995,0,0
17/05/2020,23/05/2020,45-49,נקבה,1154,648,0,0
17/05/2020,23/05/2020,45-49,לא ידוע,0,0,0,0
17/05/2020,23/05/2020,45-49,זכר,930,589,0,0
17/05/2020,23/05/2020,50-54,לא ידוע,0,0,0,0
17/05/2020,23/05/2020,50-54,נקבה,1025,578,0,0
17/05/2020,23/05/2020,50-54,זכר,753,429,0,0
17/05/2020,23/05/2020,55-59,נקבה,1075,594,0,0
